日期 时间 WH主压力（psi） T主压力（psi） WL主压力（psi） WH备压力（psi） T备压力（psi） WL备压力（psi） 高层进气压力（psi） 高层干燥气压力（psi） 高层卸压流量（L/min） 高层干燥气流量（L/min） 高层旁路流量（L/min） 低层进气压力（psi） 低层干燥气压力（psi） 低层卸压流量（L/min） 低层干燥气流量（L/min） 低层旁路流量（L/min）
2025-01-16 22:01:42 1539.61 1428.93 1674.65 0.00 0.00 0.00 16.51 6.50 0.00 4.84 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:43 1539.61 1431.14 1663.58 0.00 0.00 0.00 16.51 6.44 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:44 1537.40 1424.50 1668.00 0.00 0.00 0.00 15.78 5.71 0.00 4.97 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:45 1537.40 1428.93 1674.65 0.00 0.00 0.00 16.09 4.73 0.00 4.97 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:46 1535.18 1420.07 1676.86 0.00 0.00 0.00 16.33 4.67 0.00 5.07 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:47 1537.40 1428.93 1672.43 0.00 0.00 0.00 16.64 6.32 0.00 5.09 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:48 1544.04 1428.93 1665.79 0.00 0.00 0.00 16.45 6.44 0.00 5.03 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:49 1539.61 1426.71 1668.00 0.00 0.00 0.00 16.51 6.32 0.00 5.06 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:50 1537.40 1422.29 1670.22 0.00 0.00 0.00 15.29 6.32 0.00 5.04 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:51 1539.61 1433.35 1672.43 0.00 0.00 0.00 16.39 5.77 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
